         34042898 function calls (33425683 primitive calls) in 1591.988 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      111    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       49    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       16    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      532    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       24    0.000    0.000    0.005    0.000 _parser.py:970(parse)
      467    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      174    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      121    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      104    0.000    0.000    0.000    0.000 constructor.py:180(flatten_mapping)
       85    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      527    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      532    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      174    0.000    0.000    0.000    0.000 scanner.py:721(check_value)
        8    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {built-in method fcntl.ioctl}
  208/106    0.000    0.000    0.002    0.000 constructor.py:410(construct_yaml_map)
      104    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      226    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      148    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.002    0.002 dbapi2.py:1(<module>)
       59    0.000    0.000    0.004    0.000 parser.py:376(parse_block_sequence_first_entry)
      100    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      290    0.000    0.000    0.000    0.000 threading.py:605(is_set)
       23    0.000    0.000    0.000    0.000 enum.py:1603(__and__)
       64    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       13    0.000    0.000    0.000    0.000 scanner.py:1134(scan_flow_scalar)
      280    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      146    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       44    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
      111    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
        3    0.000    0.000    0.000    0.000 __init__.py:1591(findCaller)
      192    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       24    0.000    0.000    0.007    0.000 _compiler.py:576(_code)
      165    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 utils.py:125(__eq__)
       13    0.000    0.000    0.000    0.000 scanner.py:1185(scan_flow_scalar_non_spaces)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      123    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.008    0.008 shutil.py:1(<module>)
       85    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      163    0.000    0.000    0.000    0.000 events.py:22(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:2373(_signature_from_function)
      148    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       95    0.000    0.000    0.000    0.000 _compiler.py:401(_simple)
       72    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
      2/1    0.000    0.000    0.000    0.000 _monitor.py:30(__init__)
       87    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
